432923,400923,428923
432462,400462,429385
432769,400667,429538
432872,401179,429641
432615,401179,429231
432103,400462,42841
431949,400103,428051
432564,400667,427846
432615,401077,427641
432615,401128,427692
432615,401077,427282
431692,400256,425949
430821,399333,424769
430821,399846,425179
431282,400615,426051
431385,400359,42559
430667,399795,424718
430359,399641,424923
431231,40000,42559
43159,400359,425744
431436,400564,425949
432462,401282,426308
433128,40241,426615
432667,40200,42641
432154,400769,42600
431744,400769,425744
431179,400718,425077
430872,40000,424513
430821,400205,425282
431128,401128,426513
431128,400872,426513
430615,400051,425949
430718,400308,426308
431487,400821,426821
431385,400308,426359
430821,399744,425436
430872,400615,425333
430615,400769,425333
429744,399282,424974
430103,399436,425282
431385,401077,42600
431744,401077,425846
430564,399846,425179
429692,399538,424923
429897,400103,424769
430256,400667,424974
430872,400615,425641
431538,400051,426256
431795,400462,426872
431641,401385,426769
430513,400872,425949
429333,399487,425436
429744,399436,425846
430821,400718,426821
43159,402103,427795
432923,402615,428103
43359,402462,428103
432462,401897,427641
431487,401128,426872
431282,400564,426615
431231,400923,427026
431282,401026,426872
430821,400359,426462
429949,400256,426564
429641,40041,426359
430359,400359,426103
431333,400821,426872
431641,401436,427897
43200,401744,42841
432821,402103,428308
432513,401949,428154
431282,401026,428205
430974,400564,427846
430718,400513,426923
43000,400051,42600
429949,399692,425385
429282,40000,424974
428154,400154,424564
428821,40000,424462
430154,400564,425128
429949,401385,42600
429538,401538,426256
430718,401641,426769
431897,402154,427744
431744,402154,428154
431333,401128,427846
431487,400256,427179
431436,400923,427128
431231,401846,427744
431179,401333,427949
430615,400256,427744
430154,400103,427436
430872,400974,426872
431538,402154,426718
430667,401692,426872
429641,400359,426256
429897,400615,426564
431487,401897,428308
432308,401949,428974
430974,400821,428103
429641,400051,427487
430564,400308,427897
431846,400513,428154
431333,400154,427795
430513,40041,427897
430667,400821,427692
430923,400462,426462
430821,400205,42600
430462,400154,42600
430103,400205,425026
430359,400564,425026
430564,400769,426154
430051,400308,425846
429538,399744,424513
429846,399846,42441
430462,40041,425333
430564,400205,426051
430154,399897,426256
43000,400513,426205
