42491,4,2,2920,4000,1,0,0
42491,5,2,2910,9480,1,0,0
42491,4,2,3310,42998,2,0,0
42491,3,2,2710,4500,1,0,0
42491,3,2,2600,4750,1,0,0
42491,5,3,3660,11995,2,0,2
42491,3,1,2240,10578,2,0,0
42491,3,2,2390,6550,1,0,2
42491,4,2,2200,11250,1,0,0
42491,5,2,2820,67518,2,0,0
42491,4,2,1820,5000,1,0,1
42491,4,2,1520,6200,1,0,0
42491,4,2,2710,37277,2,0,0
42491,3,2,1750,1572,2,0,0
42491,4,2,2820,8408,2,0,0
42491,4,3,2730,54014,1,0,0
42491,3,1,2360,7291,1,0,0
42491,4,2,2730,12261,2,0,0
42491,3,2,3240,33151,2,0,2
42491,3,1,2330,14892,1,0,0
42491,4,2,3310,6500,2,0,0
42491,4,2,1940,10500,1,0,0
42491,3,1,2910,35200,1,0,0
42491,4,2,2860,3345,2,0,0
42491,4,1,1600,6380,1,0,0
42491,4,1,2190,125452,1,0,2
42491,2,1,880,6380,1,0,0
42491,4,2,2710,35868,2,0,0
42491,5,2,2210,9655,1,0,0
42491,3,1,1710,7320,1,0,0
42491,3,2,2680,5539,2,0,0
42491,3,2,2430,88426,1,0,0
42491,3,2,1270,1180,3,0,0
42491,4,2,2160,8119,1,0,0
42491,2,1,800,4850,1,0,0
42491,3,2,1770,2875,2,0,0
42491,3,2,1970,35100,2,0,0
42491,3,2,1770,1235,3,0,0
42491,4,1,1450,8800,1,0,0
42491,4,1,1920,10000,1,0,0
42491,3,2,2000,8030,1,0,0
42491,3,1,1570,6700,1,0,0
42491,3,2,1930,10460,2,0,0
42491,3,2,1960,13100,1,0,2
42491,4,2,3630,42884,1,0,0
42491,3,3,1320,1327,2,0,0
42491,4,1,1560,8700,1,0,0
42491,4,3,3110,7231,2,0,0
42491,3,1,1090,6435,1,0,0
42491,3,2,1930,11947,1,0,0
42491,2,2,1350,2560,1,0,0
42491,3,2,1580,16215,1,0,0
42491,3,1,1160,9180,1,0,0
42491,3,1,1340,7912,1,0,0
42491,2,1,850,6174,1,0,0
42491,3,2,2540,5050,2,0,0
42491,2,2,1630,1368,2,0,0
42491,3,3,1850,19966,1,0,0
42491,4,2,2200,9397,2,0,0
42491,3,2,2090,10834,1,0,0
42491,3,1,1800,23103,1,0,0
42491,3,1,1180,10277,1,0,0
42491,4,2,1480,8625,1,0,0
42491,3,1,1370,5858,1,0,0
42491,3,1,1200,9720,1,0,0
42491,2,1,1210,9400,1,0,0
42492,4,2,2920,6605,2,0,0
42492,2,1,900,5000,1,0,0
42492,3,2,1650,14054,1,0,0
42492,3,1,1010,9945,1,0,0
42493,3,2,2850,7130,2,0,0
42493,2,2,2680,7392,1,0,0
42493,4,2,2280,6010,1,0,0
42493,3,2,2200,7350,1,0,0
42493,4,2,2530,9933,2,0,2
42494,7,8,13540,307752,3,0,4
42494,2,2,2220,4000,2,0,0
42494,5,3,4010,8510,2,0,1
42494,4,2,4340,141570,2,0,0
42494,5,2,3190,16920,1,0,3
42494,3,1,1330,77972,1,0,0
42494,4,4,4420,5750,2,0,0
42494,5,3,4490,6000,2,0,0
42494,4,3,3690,9892,2,0,0
42494,4,2,2600,5390,1,0,0
