432923,400923,428923,414821,435026,458615,409692,464103
432462,400462,429385,414872,434205,458667,409744,463897
432769,400667,429538,415641,433692,458359,409692,463026
432872,401179,429641,41559,434359,458256,409744,463077
432615,401179,429231,415128,434769,458667,40959,462769
432103,400462,42841,415333,434564,458718,409333,461692
431949,400103,428051,415179,434359,458462,408974,46159
432564,400667,427846,414308,43441,458308,408718,461487
432615,401077,427641,413949,434513,45841,409128,460821
432615,401128,427692,414205,43441,458256,409282,460872
432615,401077,427282,414308,434256,457949,408769,46159
431692,400256,425949,41359,433949,458154,408615,461538
430821,399333,424769,412462,43359,458462,408974,461026
430821,399846,425179,412256,433846,458462,409128,461692
431282,400615,426051,412769,434103,458615,408974,462872
431385,400359,42559,412769,433795,458615,409128,462769
430667,399795,424718,412256,433692,45841,409436,462051
430359,399641,424923,412205,434103,45841,409077,461641
431231,40000,42559,41241,434205,458667,408564,461077
43159,400359,425744,412256,434154,458821,408821,460718
431436,400564,425949,412359,434513,458821,409231,461282
432462,401282,426308,413231,434308,458718,409179,461795
433128,40241,426615,41400,433641,458564,408974,461795
432667,40200,42641,413744,433436,458615,408821,462154
432154,400769,42600,413231,43400,458564,408718,463026
431744,400769,425744,412872,434359,458513,408821,463897
431179,400718,425077,412513,433641,458718,408769,463436
430872,40000,424513,412154,432923,458564,408667,461744
430821,400205,425282,412256,433282,458256,408769,461077
431128,401128,426513,413026,433949,458359,408974,461641
431128,400872,426513,413077,433744,458564,408769,461487
430615,400051,425949,412103,433026,45841,408564,460718
430718,400308,426308,412154,433077,458256,408667,461179
431487,400821,426821,412821,433538,45841,409231,462564
431385,400308,426359,41241,433641,458667,410051,463333
430821,399744,425436,411949,433282,458872,409795,462821
430872,400615,425333,412103,433026,458564,408205,461487
430615,400769,425333,412103,433026,457949,407744,460769
429744,399282,424974,411846,433077,458103,408564,460923
430103,399436,425282,411949,433282,458308,408769,461179
431385,401077,42600,412462,433744,458051,408872,461846
431744,401077,425846,412615,433949,45841,409436,462564
430564,399846,425179,412154,433179,458462,409487,46200
429692,399538,424923,412051,432462,457795,408821,46159
429897,400103,424769,412308,433282,45800,408718,462462
430256,400667,424974,412051,434205,458923,409487,462769
430872,400615,425641,411846,433385,458769,409795,462154
431538,400051,426256,412051,432923,458359,409282,462154
431795,400462,426872,412359,433795,458513,408718,462205
431641,401385,426769,412462,434256,458974,408923,461641
430513,400872,425949,41200,434103,45959,409282,461231
