Dimension,DatasetSize,GenTokenTime(ms),SearchTime(ms),Repeat
2,1000,10.715,212806,1
3,1000,15.9676,295253,1
4,1000,21.3545,357528,1
5,1000,26.7669,418874,1
6,1000,32.0282,477506,1
7,1000,37.2981,533915,1
8,1000,42.6442,611572,1
2,1000,10.6233,213072,2
3,1000,15.9461,295054,2
4,1000,21.3499,357315,2
5,1000,26.7194,418264,2
6,1000,32.0338,477979,2
7,1000,37.3697,533249,2
8,1000,42.6334,610924,2
2,1000,10.6458,212934,3
3,1000,16.0513,295930,3
4,1000,21.3684,357936,3
5,1000,26.6798,418581,3
6,1000,32.0307,478072,3
7,1000,37.271,533823,3
8,1000,42.5937,610860,3
2,1000,10.6668,213167,4
3,1000,16.0308,295196,4
4,1000,21.3562,357281,4
5,1000,26.7094,419293,4
6,1000,32.014,477941,4
7,1000,37.338,533408,4
8,1000,42.742,610416,4
2,1000,10.6248,213291,5
3,1000,16.0194,295717,5
4,1000,21.3359,357888,5
5,1000,26.7163,418358,5
6,1000,32.0457,479374,5
7,1000,37.2397,533779,5
8,1000,42.6288,610431,5
2,1000,10.6505,213770,6
3,1000,15.9973,295354,6
4,1000,21.3803,357410,6
5,1000,26.7301,418367,6
6,1000,32.0678,478470,6
7,1000,37.2378,533582,6
8,1000,42.6617,611187,6
2,1000,10.6547,212899,7
3,1000,16.0634,295550,7
4,1000,21.3289,357384,7
5,1000,26.7265,418853,7
6,1000,32.0079,477592,7
7,1000,37.3952,533478,7
8,1000,42.6031,610716,7
2,1000,10.565,212919,8
3,1000,16.0125,295131,8
4,1000,21.3752,357565,8
5,1000,26.6485,418471,8
6,1000,31.9317,477384,8
7,1000,37.1171,532420,8
8,1000,42.659,611506,8
2,1000,10.592,213106,9
3,1000,15.9862,295149,9
4,1000,21.3842,357672,9
5,1000,26.718,418050,9
6,1000,31.9201,478475,9
7,1000,37.391,533125,9
8,1000,42.7083,610163,9
2,1000,10.6038,212925,10
3,1000,16.0213,294768,10
4,1000,21.3275,357490,10
5,1000,26.5518,417938,10
6,1000,32.1467,477681,10
7,1000,37.1518,533125,10
8,1000,42.5759,611298,10
